Influencer_ID,Influencer_Name,Platform,Subscribers,Post_Categories,Country,Visits,Likes,Comments,Engagement_Rate(%),Profile_Link
INF00887,FarjanaDrawingAcademy,YouTube,12900000,Unknown,India,198200,13500,245,0.10655038759689922,http://youtube.com/channel/UCd3s7BuoOlu4bRJL6RdGWXw
INF00888,FlowersComedy,YouTube,12900000,Humor,India,54000,852,36,0.006883720930232559,http://youtube.com/channel/UCmAPdImtXLGh5E-lTTH4Qmg
INF00889,TalkingAngela,YouTube,12900000,Unknown,Estados Unidos,35900,918,0,0.0071162790697674415,http://youtube.com/channel/UCPcynnZcILjm0e2aaaTuCjw
INF00890,Vendyyaduwanshi,YouTube,12900000,Unknown,India,382200,43200,56,0.3353178294573643,http://youtube.com/channel/UCNLLgtPIKew9vHNVAQmdVGQ
INF00891,RachitRojha,YouTube,12900000,Unknown,India,2200000,39400,1500,0.31705426356589145,http://youtube.com/channel/UCwBlZvRTu3vasTWUE9U5wPw
INF00892,_gogo2728,YouTube,12900000,Vlogs diarios,India,225300,18600,41,0.14450387596899225,http://youtube.com/channel/UCUpS9qH3N5rFy51Ft-rYsnA
INF00893,NDTV,YouTube,12900000,Noticias y Política,India,2600,15,1,0.00012403100775193799,http://youtube.com/channel/UCZFMm1mMw0F81Z37aaEzTUA
INF00894,WaveMusicBhakti,YouTube,12900000,Música y baile,Unknown,2100,35,3,0.0002945736434108527,http://youtube.com/channel/UCjb5iAXrj1D6NjHJYvDGw7w
INF00895,BiperYSusAmigos,YouTube,12900000,"Música y baile, Películas",Unknown,60900,0,0,0.0,http://youtube.com/channel/UCYslmQ8uJYORVagKOtejwAQ
INF00896,deepalimarkam1,YouTube,12900000,Unknown,India,227500,0,26,0.00020155038759689923,http://youtube.com/channel/UCSNpkW6wDg-0Gf7nxk0aFBQ
INF00897,BlossomTV,YouTube,12900000,Unknown,Estados Unidos,18500,516,3,0.004023255813953489,http://youtube.com/channel/UC2WuPTt0k8yDJpfenggOAVQ
INF00898,MrSuicideSheep,YouTube,12900000,Unknown,Estados Unidos,37700,1700,39,0.013480620155038762,http://youtube.com/channel/UC5nc_ZtjKW1htCVZVRxlQAQ
INF00899,FamilyBooms,YouTube,12900000,Unknown,India,2300000,69900,57,0.5423023255813954,http://youtube.com/channel/UCmDdTOJBGCeF-iE0ADB_6Wg
INF00900,Morgz,YouTube,12900000,"Películas, Humor",Unknown,189500,8300,159,0.06557364341085271,http://youtube.com/channel/UCBwSufNse8VMBvQM_rCSvgQ
INF00901,NasDaily,YouTube,12900000,Vlogs diarios,Estados Unidos,109200,4100,288,0.034015503875968994,http://youtube.com/channel/UCJsUvAqDzczYv2UpFmu4PcA
INF00902,TroomTroom_India,YouTube,12800000,Unknown,India,29300,343,5,0.00271875,http://youtube.com/channel/UCwP0n9or789Y33-JNNe-tlA
INF00903,saito09,YouTube,12800000,Unknown,Estados Unidos,824400,17600,26,0.137703125,http://youtube.com/channel/UCKLbzfmjFv_oalDX8sHxhkQ
INF00904,colinfurze,YouTube,12800000,Videojuegos,Estados Unidos,3900000,133300,5200,1.08203125,http://youtube.com/channel/UCp68_FLety0O-n9QU6phsgw
INF00905,HeroMovies2023,YouTube,12800000,Vlogs diarios,India,7400,179,2,0.0014140625,http://youtube.com/channel/UCGzmSVjq_yQRgcgpA9SBTjw
INF00906,rathorvideo,YouTube,12800000,Música y baile,India,4200,34,3,0.0002890625,http://youtube.com/channel/UCbSGbqIVds2FiYn-0v0AqSA
INF00907,refugiomental6818,YouTube,12800000,"Películas, Animación",Brasil,93900,2500,28,0.01975,http://youtube.com/channel/UChYkldqKWymAKTsPku_tDfg
INF00908,StarBharat,YouTube,12800000,Unknown,India,61000,1100,14,0.008703125,http://youtube.com/channel/UCCy2rLnGdwoJcSAtixNdsPQ
INF00909,TroomTroom_Indonesia,YouTube,12700000,"Música y baile, Películas",Indonesia,96700,818,18,0.006582677165354331,http://youtube.com/channel/UCtGmhXT_NSTK5j_r9a9xdYA
INF00910,bharatzkitchenHINDI,YouTube,12700000,Unknown,India,152400,3700,140,0.030236220472440945,http://youtube.com/channel/UCfD08FDOGbzIxCduGKkJ0Xg
INF00911,AdexeyNau,YouTube,12700000,Música y baile,México,13900,1600,88,0.013291338582677165,http://youtube.com/channel/UCKR6KdJmTdhLVQJnoJu9tRQ
INF00912,WildNOut,YouTube,12700000,"Música y baile, Humor",Estados Unidos,312300,12800,99,0.10156692913385827,http://youtube.com/channel/UCrkzfc2yf-7q6pd7EtzgNaQ
INF00913,piuzinho,YouTube,12700000,"Animación, Humor",Brasil,178800,32600,650,0.2618110236220472,http://youtube.com/channel/UCIvBHgnnLSVr9enuPvBuwyw
INF00914,MasSKabeche,YouTube,12700000,"Películas, Animación",México,756600,36100,536,0.2884724409448819,http://youtube.com/channel/UC0n5Ihqix8mEqGsjygiJk6Q
INF00915,QuantumTech,YouTube,12700000,Ciencia y tecnología,Estados Unidos,233600,2000,36,0.016031496062992125,http://youtube.com/channel/UC4Tklxku1yPcRIH0VVCKoeA
INF00916,tappuhoneyparmar4277,YouTube,12700000,Unknown,India,333400,0,34,0.00026771653543307086,http://youtube.com/channel/UCFdmd1JSZVHF2nCpudLfQDA
INF00917,pocoyo,YouTube,12700000,Unknown,Unknown,403800,2100,0,0.01653543307086614,http://youtube.com/channel/UCnB5W_ZJgiDFnklejRGADxw
INF00918,GoldminesActionMovies,YouTube,12700000,Unknown,Unknown,5100,133,0,0.0010472440944881889,http://youtube.com/channel/UCY7tB-mpvlQeWgaCCS1Cmwg
INF00919,TheDaniRep,YouTube,12700000,"Animación, Videojuegos",México,154700,9600,89,0.07629133858267716,http://youtube.com/channel/UCHIwQiZhIn6fm5b_IilqBbQ
INF00920,parislifestyle7488,YouTube,12700000,Unknown,India,354600,3000,197,0.025173228346456692,http://youtube.com/channel/UCt_KDu-DtBqvIw7X-V7mlmQ
INF00921,TimbaVk,YouTube,12700000,"Animación, Videojuegos",México,612000,24200,479,0.1943228346456693,http://youtube.com/channel/UCp7wTrsCU7eICb5z69D3rwA
INF00922,OliviaRodrigo,YouTube,12700000,Música y baile,Estados Unidos,418900,47900,1000,0.3850393700787402,http://youtube.com/channel/UCy3zgWom-5AGypGX_FVTKpg
