Influencer ID,Account,Platform,Follower Count,Post Engagements,Engagement Rate (%),Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
INF0171,luxurydark,TikTok,1300000.0,379100,29.16,4200000.0,362300.0,10700.0,6100.0,2022-02-07 16:54:35.641971
INF0172,mdmotivator,TikTok,5600000.0,871300,15.56,6300000.0,866700.0,3100.0,1500.0,2022-02-07 16:54:35.641971
INF0173,christianfabiannn,TikTok,11100000.0,688999,6.21,5600000.0,682500.0,5900.0,599.0,2022-02-07 16:54:35.641971
INF0174,trainee_a,TikTok,2200000.0,607400,27.61,2500000.0,590900.0,9500.0,7000.0,2022-02-07 16:54:35.641971
INF0175,mikaylahau,TikTok,4100000.0,539400,13.16,4100000.0,528300.0,2600.0,8500.0,2022-02-07 16:54:35.641971
INF0176,mieayamthebstt,TikTok,12300000.0,628600,5.11,5100000.0,621000.0,5800.0,1800.0,2022-02-07 16:54:35.641971
INF0177,shayrudolph,TikTok,2700000.0,683900,25.33,3000000.0,672300.0,8300.0,3300.0,2022-02-07 16:54:35.641971
INF0178,louflores_,TikTok,2600000.0,482700,18.57,4000000.0,470400.0,1300.0,11000.0,2022-02-07 16:54:35.641971
INF0179,charlidameilo,TikTok,1400000.0,436000,31.14,2700000.0,415800.0,8000.0,12200.0,2022-02-07 16:54:35.641971
INF0180,01ayres,TikTok,5500000.0,735100,13.37,4400000.0,728200.0,4200.0,2700.0,2022-02-07 16:54:35.641971
INF0181,samkamusic,TikTok,11700000.0,556500,4.76,4700000.0,548000.0,5000.0,3500.0,2022-02-07 16:54:35.641971
INF0182,tararistic4,TikTok,607400.0,291200,47.94,3400000.0,267200.0,3700.0,20300.0,2022-02-07 16:54:35.641971
INF0183,ferchugimenez,TikTok,3400000.0,710100,20.89,5600000.0,704600.0,2100.0,3400.0,2022-02-07 16:54:35.641971
INF0184,aliciacastro___,TikTok,2300000.0,905400,39.37,5200000.0,900800.0,3200.0,1400.0,2022-02-07 16:54:35.641971
